pid,name,team,pos,photo,mp,starts,mins,g,a,yc,rc,pen,rating_best,xg,xa,npxg,bc_missed,bc_missed_xg,gk_shots_faced,gk_xgot_faced,gk_goals_conceded,prog_passes,prog_carries,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xa_diff,xgi,npg,fwd_eff,gk_goals_prevented,xt_added_p90
300713,Kylian Mbappe,Real Madrid,FW,https://images.fotmob.com/image_resources/playerimages/701154.png,6,6,568,7,2,0,0,1,10.0,7.47,1.55,5.88,8,3.79,0,0.0,0,53,18,40,22,216,189,11,353,4,1,1,22,7,0,8,0,9,8.42,88,-0.47,0.45,9.02,6,0.62,,0.2811
300447,Raphinha,Barcelona,FW,https://images.fotmob.com/image_resources/playerimages/696679.png,5,5,418,6,2,0,0,1,9.7,4.81,1.26,4.01,4,1.35,0,0.0,0,32,6,15,9,148,124,13,216,5,0,1,10,3,2,3,0,8,8.64,84,1.19,0.74,6.07,5,0.93,,0.1382
372469,Sergio Camello,Rayo Vallecano,Sub,https://images.fotmob.com/image_resources/playerimages/980422.png,6,5,416,6,1,2,0,0,9.0,2.44,0.4,2.44,2,0.73,0,0.0,0,20,2,15,10,108,79,8,198,7,0,2,4,6,1,9,0,7,7.38,73,3.56,0.6,2.84,6,1.89,,0.079
44120,Pierre-Emerick Aubameyang,Deportivo A Coruña,FW,https://images.fotmob.com/image_resources/playerimages/150565.png,5,5,461,5,2,0,0,0,8.6,2.57,0.29,2.57,2,0.4,0,0.0,0,18,2,14,9,84,65,6,143,4,2,4,2,2,7,2,0,7,7.78,77,2.43,1.71,2.86,5,1.68,,0.1304
480249,Lamine Yamal,Barcelona,FWR,https://images.fotmob.com/image_resources/playerimages/1467236.png,5,5,411,6,0,0,0,1,10.0,3.46,1.52,2.66,3,0.75,0,0.0,0,77,12,26,11,239,193,18,368,6,2,0,19,4,2,8,0,6,8.64,81,2.54,-1.52,4.98,5,1.47,,0.2665
448296,Roberto Fernandez,Espanyol,FW,,6,6,548,6,0,0,0,0,8.3,3.47,0.39,3.47,1,0.42,0,0.0,0,6,2,13,6,75,48,4,142,6,1,12,2,8,8,2,0,6,7.27,64,2.53,-0.39,3.86,6,1.54,,0.0243
463838,Fermin Lopez,Barcelona,MC,https://images.fotmob.com/image_resources/playerimages/1404415.png,5,4,388,4,2,1,0,0,9.7,2.75,1.02,2.75,2,0.84,0,0.0,0,40,5,11,8,184,155,8,265,12,2,2,6,6,1,5,0,6,7.96,84,1.25,0.98,3.77,4,1.11,,0.1886
538158,Yassir Zabiri,Racing Santander,Sub,https://images.fotmob.com/image_resources/playerimages/1640985.png,5,3,295,5,0,2,0,0,9.2,2.32,0.09,2.32,0,0.0,0,0.0,0,10,0,11,6,47,35,2,90,9,0,1,1,10,3,3,0,5,7.06,74,2.68,-0.09,2.41,5,2.16,,-0.0016
395242,Alex Baena,Atletico Madrid,Sub,https://images.fotmob.com/image_resources/playerimages/942372.png,6,4,404,4,1,1,0,0,8.8,1.17,0.84,1.17,0,0.0,0,0.0,0,55,0,14,6,195,162,14,276,9,8,1,0,7,1,4,0,5,7.28,83,2.83,0.16,2.01,4,3.42,,0.2621
379868,Jude Bellingham,Real Madrid,AMC,https://images.fotmob.com/image_resources/playerimages/1077894.png,6,5,463,3,2,0,0,0,8.9,1.02,1.49,1.02,1,0.2,0,0.0,0,42,8,16,7,215,196,13,334,12,2,3,16,5,4,9,0,5,8.0,91,1.98,0.51,2.51,3,2.46,,0.1707
323236,Mariano Diaz,Deportivo Alaves,Sub,https://images.fotmob.com/image_resources/playerimages/518525.png,6,2,286,3,2,2,0,0,9.1,1.72,0.31,1.72,2,0.77,0,0.0,0,11,2,9,8,36,24,3,81,4,0,8,5,4,3,2,0,5,7.1,67,1.28,1.69,2.03,3,1.2,,0.0219
303800,Lucas Boye,Deportivo Alaves,FW,https://images.fotmob.com/image_resources/playerimages/561164.png,5,5,420,4,0,0,0,0,10.0,1.25,0.32,1.25,0,0.0,0,0.0,0,13,0,16,6,78,60,3,198,20,0,13,2,13,5,7,0,4,7.32,77,2.75,-0.32,1.57,4,3.2,,0.0104
98126,Ante Budimir,Osasuna,Sub,https://images.fotmob.com/image_resources/playerimages/251269.png,6,4,437,4,0,0,0,3,9.3,4.09,0.12,1.71,4,1.26,0,0.0,0,7,2,16,10,59,32,1,137,8,0,20,4,7,4,2,0,4,7.1,54,-0.09,-0.12,4.21,1,0.34,,0.0604
135345,Alvaro Garcia,Rayo Vallecano,AML,https://images.fotmob.com/image_resources/playerimages/474658.png,6,5,459,2,2,1,0,0,7.9,1.5,0.53,1.5,0,0.0,0,0.0,0,24,2,6,4,92,59,3,170,9,6,2,3,4,7,1,0,4,6.73,64,0.5,1.47,2.03,2,1.33,,0.1466
337782,Vinicius Junior,Real Madrid,AML,https://images.fotmob.com/image_resources/playerimages/846033.png,6,6,523,1,3,2,0,0,8.1,2.73,1.57,2.73,5,1.47,0,0.0,0,62,9,20,6,169,135,13,288,9,0,0,11,5,0,5,0,4,7.23,80,-1.73,1.43,4.3,1,0.24,,0.1465
349669,Anthony Gordon,Barcelona,FWL,https://images.fotmob.com/image_resources/playerimages/906937.png,5,4,311,0,4,0,0,0,7.9,1.05,0.84,1.05,2,0.6,0,0.0,0,33,4,9,4,101,91,7,156,5,0,1,8,1,2,6,0,4,7.32,90,-1.05,3.16,1.89,0,0.0,,0.0305
506010,Javi Hernandez,Espanyol,AMC,https://images.fotmob.com/image_resources/playerimages/1427828.png,6,6,477,0,4,1,0,0,7.7,0.51,0.95,0.51,0,0.0,0,0.0,0,21,4,8,3,109,88,11,228,14,1,0,6,13,1,19,0,4,6.8,81,-0.51,3.05,1.46,0,0.0,,0.1323
448231,Roger Brugue,Levante,MR,https://images.fotmob.com/image_resources/playerimages/1286471.png,4,4,366,3,0,0,0,0,8.2,2.01,0.15,2.01,2,0.64,0,0.0,0,9,1,12,5,62,43,2,118,10,1,6,1,3,1,2,0,3,7.07,69,0.99,-0.15,2.16,3,1.13,,-0.026
391082,Fer Nino,Elche,FW,https://images.fotmob.com/image_resources/playerimages/1127224.png,6,5,424,3,0,1,0,0,7.9,1.55,0.21,1.55,2,0.69,0,0.0,0,10,1,9,7,91,65,2,167,11,2,17,3,3,7,5,0,3,6.95,71,1.45,-0.21,1.76,3,1.34,,0.0294
399047,Pape Gueye,Villarreal,MC,https://images.fotmob.com/image_resources/playerimages/844544.png,6,5,460,3,0,1,0,1,8.1,1.37,0.26,0.58,0,0.0,0,0.0,0,73,0,6,4,357,306,7,431,4,5,1,2,5,5,0,0,3,6.75,86,1.63,-0.26,1.63,2,3.45,,0.1541
383855,Jonathan David,Atlético Madrid,Sub,https://images.fotmob.com/image_resources/playerimages/939569.png,2,1,103,2,1,0,0,0,8.4,2.2,0.32,2.2,3,1.1,0,0.0,0,4,1,8,5,26,21,5,44,0,0,1,1,0,0,1,0,3,7.95,81,-0.2,0.68,2.52,2,0.61,,0.0235
367780,Lee Kang-In,Atletico Madrid,Sub,,6,5,386,2,1,1,0,0,9.2,1.45,0.49,1.45,1,0.42,0,0.0,0,45,4,18,5,174,141,9,264,14,2,2,11,6,2,5,0,3,7.42,81,0.55,0.51,1.94,2,1.07,,0.1316
392646,Karim Adeyemi,Barcelona,Sub,https://images.fotmob.com/image_resources/playerimages/959594.png,5,1,161,2,1,0,0,0,7.5,1.77,0.17,1.77,2,0.77,0,0.0,0,8,4,7,5,50,39,2,88,3,0,1,5,1,1,1,0,3,6.82,78,0.23,0.83,1.94,2,0.79,,0.2373
415181,Arda Guler,Real Madrid,AMR,https://images.fotmob.com/image_resources/playerimages/1253890.png,6,4,301,1,2,1,0,0,8.3,1.42,2.24,1.42,1,0.59,0,0.0,0,76,3,10,3,172,157,27,269,7,1,1,7,3,2,6,0,3,7.7,91,-0.42,-0.24,3.66,1,0.5,,0.6242
506205,Angel Perez,Deportivo Alaves,DMR,https://images.fotmob.com/image_resources/playerimages/1563022.png,6,6,478,0,3,0,0,0,8.7,0.66,1.41,0.66,1,0.34,0,0.0,0,51,6,9,4,112,83,10,233,9,5,2,11,4,4,3,0,3,7.2,74,-0.66,1.59,2.07,0,0.0,,0.2733
236575,Unai Lopez,Rayo Vallecano,DMC,https://images.fotmob.com/image_resources/playerimages/571615.png,6,6,479,0,3,2,0,0,7.6,0.21,0.57,0.21,0,0.0,0,0.0,0,44,1,4,1,280,237,13,373,21,4,4,4,9,3,5,0,3,6.9,85,-0.21,2.43,0.78,0,0.0,,0.1416
