match_id,date,stage,venue,home,away,home_score,away_score,home_xg,away_xg,xg_estimated
5868011,2026-08-15,,Estadio de Mendizorroza,Deportivo Alavés,Getafe,3,0,1.71,0.22,1
5868019,2026-08-15,,Estadio Ramón Sánchez Pizjuán,Sevilla,Rayo Vallecano,2,1,2.04,1.7,1
5868017,2026-08-16,,Campos de Sport de El Sardinero,Racing Santander,Villarreal,2,2,1.71,0.74,1
5868015,2026-08-16,,RCDE Stadium,Espanyol,Levante,3,0,1.63,0.16,1
5868014,2026-08-17,,Estadio Abanca-Riazor,Deportivo A Coruña,Elche,1,1,0.61,0.07,1
5868012,2026-08-19,,Riyadh Air Metropolitano,Atletico Madrid,Málaga,2,0,1.37,0.2,1
5868020,2026-08-25,,Estadio de Mestalla,Valencia,Real Betis,0,1,1.0,0.95,1
5868018,2026-08-26,,Estadio Bernabéu,Real Madrid,Real Sociedad,4,1,2.52,0.67,1
5868013,2026-08-27,,Estadio Abanca-Balaídos,Celta Vigo,Osasuna,1,2,0.13,2.32,1
5868016,2026-08-27,,Spotify Camp Nou,Barcelona,Athletic Club,2,0,2.66,0.2,1
5868029,2026-08-20,,Estadio de Vallecas,Rayo Vallecano,Deportivo Alavés,1,1,0.6,1.87,1
5868023,2026-08-21,,Estadio La Cartuja de Sevilla,Real Betis,Real Sociedad,1,0,1.19,1.1,1
5868021,2026-08-22,,Estadio de San Mamés,Athletic Club,Sevilla,1,3,1.39,0.94,1
5868030,2026-08-22,,Estadio de Mestalla,Valencia,Celta Vigo,0,0,0.66,0.55,1
5868025,2026-08-22,,RCDE Stadium,Espanyol,Real Madrid,1,2,0.97,2.35,1
5868022,2026-08-23,,Riyadh Air Metropolitano,Atletico Madrid,Villarreal,2,2,1.04,1.66,1
5868026,2026-08-23,,Estadio Coliseum,Getafe,Racing Santander,1,0,1.03,1.29,1
5868024,2026-08-23,,Estadio Manuel Martínez Valero,Elche,Barcelona,0,5,1.04,3.69,1
5868028,2026-08-24,,Estadio El Sadar,Osasuna,Levante,0,0,0.76,1.01,1
5868027,2026-08-24,,Estadio La Rosaleda,Málaga,Deportivo A Coruña,1,1,1.21,0.04,1
5868037,2026-08-28,,,Racing Santander,Elche,3,2,2.0,0.83,1
5868031,2026-08-28,,,Deportivo Alavés,Villarreal,1,0,0.64,1.21,1
5868035,2026-08-29,,,Levante,Real Betis,5,2,2.56,1.52,1
5868039,2026-08-29,,,Real Sociedad,Espanyol,2,1,2.34,0.75,1
5868040,2026-08-29,,,Sevilla,Atletico Madrid,1,3,1.07,0.97,1
5868038,2026-08-30,,,Real Madrid,Málaga,4,0,2.53,0.69,1
5868033,2026-08-30,,,Deportivo A Coruña,Valencia,3,1,1.03,1.06,1
5868032,2026-08-30,,,Celta Vigo,Athletic Club,0,2,1.11,2.61,1
5868036,2026-08-31,,,Osasuna,Getafe,1,0,1.65,0.99,1
5868034,2026-08-31,,,Barcelona,Rayo Vallecano,5,2,3.31,1.72,1
5868043,2026-09-04,,Estadio La Cartuja de Sevilla,Real Betis,Real Madrid,1,0,0.36,0.91,1
5868042,2026-09-05,,Estadio de San Mamés,Athletic Club,Atletico Madrid,3,0,0.59,0.09,1
5868048,2026-09-05,,Estadio Ontime Butarque,Rayo Vallecano,Racing Santander,3,2,1.05,0.05,1
5868070,2026-09-03,,Estadio Municipal de Anoeta,Real Sociedad,Celta Vigo,0,0,0.73,0.04,1
