position,team,played,won,drawn,lost,gf,ga,gd,points
1,Barcelona,7,7,0,0,31,7,24,21
2,Atletico Madrid,7,5,1,1,16,7,9,16
3,Real Madrid,7,5,0,2,18,8,10,15
4,Real Betis,6,5,0,1,8,6,2,15
5,Sevilla,7,4,1,2,10,9,1,13
6,Deportivo Alavés,7,3,2,2,11,6,5,11
7,Deportivo A Coruña,6,2,3,1,9,7,2,9
8,Athletic Club,6,2,2,2,7,6,1,8
9,Getafe,7,2,2,3,4,7,-3,8
10,Rayo Vallecano,7,2,2,3,11,16,-5,8
11,Osasuna,7,2,2,3,6,13,-7,8
12,Celta Vigo,7,1,4,2,8,6,2,7
13,Espanyol,7,2,1,4,10,10,0,7
14,Real Sociedad,6,2,1,3,6,11,-5,7
15,Racing Santander,7,2,1,4,11,21,-10,7
16,Villarreal,6,1,2,3,10,11,-1,5
17,Levante,5,1,2,2,7,9,-2,5
18,Elche,7,1,2,4,11,17,-6,5
19,Valencia,6,1,1,4,2,10,-8,4
20,Málaga,7,0,3,4,3,12,-9,3
